PropertyType,Address,Description,Bedrooms,Bathrooms,Price GBP,Agent,Tel,Latitude,Longitude,geometry
Flat,"Ormonde Gate, Chelsea SW3",1 bed flat to rent,1.0,1.0,3142.0,"Marketed by Knight Frank - Knightsbridge Lettings, SW3",020 8128 5275,51.48703,-0.16055,POINT (-0.16055 51.48703)
Room,"East Acton, Norbroke Street W12",Room to rent,1.0,2.0,475.0,"Marketed by Oaklands Estates, W12",020 3641 1304,51.51458,-0.24722,POINT (-0.24722 51.51458)
Flat,"Prince Regent Road, Hounslow TW3",1 bed flat to rent,1.0,1.0,1125.0,"Marketed by Diamond Move, TW3",020 3463 2549,51.47036,-0.36012,POINT (-0.36012 51.47036)
Town house,"Grenville Place, Edgware / Mill Hill, London NW7",4 bed town house to rent,4.0,3.0,2795.0,"Marketed by Star Estate Agents, UB6",020 8022 5748,51.6153,-0.25874,POINT (-0.25874 51.6153)
Flat,"Cambridge Road, Norbiton, Kingston Upon Thames KT1",2 bed flat to rent,2.0,1.0,2750.0,"Marketed by Hamptons - Kingston Lettings, KT1",020 3463 1586,51.40699,-0.2832,POINT (-0.2832 51.40699)
Flat,"Colney Hatch Lane, London N10",3 bed flat to rent,3.0,1.0,1600.0,"Marketed by Dexters - Muswell Hill, N10",020 8444 9914,51.60945,-0.1536,POINT (-0.1536 51.60945)
Flat,"Disraeli Gardens, Putney SW15",3 bed flat to rent,3.0,1.0,2500.0,"Marketed by Warren & Co, SW15",020 8166 7553,51.46156,-0.21531,POINT (-0.21531 51.46156)
Flat,"Gransden House, Bowditch, Deptford SE8",1 bed flat to rent,1.0,1.0,1100.0,"Marketed by Kallars London, SE8",020 8033 8661,51.47494,-0.02519,POINT (-0.02519 51.47494)
Flat,"Essex Road, Highbury &amp; Islington, Angel, London N1",1 bed flat to rent,1.0,1.0,1550.0,"Marketed by Statuum, E9",020 3589 1404,51.53766,-0.09967,POINT (-0.09966999999999999 51.53766)
Flat,"Chamberlayne Road, Kensal Rise, London NW10",1 bed flat to rent,1.0,1.0,1300.0,"Marketed by Wenlock & Taylor, NW10",020 8128 0202,51.53404,-0.21901,POINT (-0.21901 51.53404)
Studio,"Mercia Grove, Lewisham, London SE13",Studio to rent,1.0,1.0,900.0,"Marketed by Robinson Jackson - Catford, SE6",020 3641 2139,51.46123,-0.00883,POINT (-0.008829999999999999 51.46123)
Flat,"Gloucester Road, London N17",2 bed flat to rent,2.0,1.0,1400.0,"Marketed by Leygate, N16",020 8033 2493,51.5889,-0.0816,POINT (-0.08160000000000001 51.5889)
Flat,"The Drive, Golders Green NW11",3 bed flat to rent,3.0,2.0,3900.0,"Marketed by S.H.A & SON, WD23",020 8115 0048,51.57519,-0.2077,POINT (-0.2077 51.57519)
Semi-detached house,"Off Inverness Road, Hounslow TW3",5 bed semi-detached house to rent,5.0,3.0,1850.0,"Marketed by Ready Move Estates Ltd, TW4",020 8115 4502,51.46401,-0.37493,POINT (-0.37493 51.46401)
Maisonette,"Southern Grove, London E3",3 bed maisonette to rent,3.0,1.0,1950.0,"Marketed by Hamletts Limited, E2",020 3544 3918,51.52407,-0.03112,POINT (-0.03112 51.52407)
Studio,"Benwell Road, Highbury West, London N7",Studio to rent,1.0,1.0,1278.0,"Marketed by Rainbow Properties, NW6",020 3544 3915,51.55117,-0.10868,POINT (-0.10868 51.55117)
Terraced house,"High Street, Mill Hill, London NW7",2 bed terraced house to rent,2.0,1.0,1700.0,"Marketed by Ellis & Co - Mill Hill, NW7",020 3463 0057,51.61792,-0.22778,POINT (-0.22778 51.61792)
Flat,"Fairmont Avenue, London E14",2 bed flat to rent,2.0,2.0,2383.0,"Marketed by Waterview - Shad Thames, SE1",020 7650 5110,51.50596,-0.0055,POINT (-0.0055 51.50596)
Flat,"The Grove, Finchley Central, London N3",1 bed flat to rent,1.0,1.0,1105.0,"Marketed by Jayson Russell, NW4",020 3542 2139,51.60433,-0.19334,POINT (-0.19334 51.60433)
Flat,"Harrow View, Harrow HA1",2 bed flat to rent,2.0,1.0,1300.0,"Marketed by Allan Howard & Co, HA3",020 7768 0983,51.58657,-0.34268,POINT (-0.34268 51.58657)
Semi-detached house,"St. Marys Crescent, Osterley, Isleworth TW7",3 bed semi-detached house to rent,3.0,1.0,1995.0,"Marketed by Dexters - Isleworth, TW7",020 8560 1717,51.48237,-0.34644,POINT (-0.34644 51.48237)
Flat,"Norfolk Road, Seven Kings IG3",3 bed flat to rent,3.0,1.0,1500.0,"Marketed by Hansons Estates, IG3",020 8033 2272,52.65291,0.53854,POINT (0.53854 52.65291)
Flat,"Central Hill, Crystal Palace, Upper Norwood SE19",1 bed flat to rent,1.0,1.0,1100.0,"Marketed by Live London Estates, NW11",020 3463 9987,51.42134,-0.08972,POINT (-0.08971999999999999 51.42134)
Detached house,"Peel Road, Orpington BR6",4 bed detached house to rent,4.0,2.0,2150.0,"Marketed by Letzone, BR2",020 8022 1707,51.3609,0.07237,POINT (0.07237 51.3609)
Flat,"Transom Close, London SE16",1 bed flat to rent,1.0,1.0,1250.0,"Marketed by Urban Patchwork, SE16",020 8115 3711,51.4928,-0.03648,POINT (-0.03648 51.4928)
Flat,"Church Road, London NW10",1 bed flat to rent,1.0,1.0,1200.0,"Marketed by Hart & Co, NW10",020 8033 7341,51.54247,-0.25426,POINT (-0.25426 51.54247)
Flat,"Lurline Gardens, London SW11",2 bed flat to rent,2.0,1.0,2197.0,"Marketed by Dexters - Battersea, SW11",020 7350 1300,51.47678,-0.14938,POINT (-0.14938 51.47678)
Flat,"Southstand Apartments, Highbury Stadium Square, Highbury, London N5",2 bed flat to rent,2.0,2.0,2350.0,"Marketed by Anthony Pepe Harringay, N4",020 8115 7185,51.54962,-0.10105,POINT (-0.10105 51.54962)
Flat,"Ambleside Ave, Streatham SW16",1 bed flat to rent,1.0,1.0,1100.0,"Marketed by Parkside Estate Agent, SW19",020 8033 2433,51.42767,-0.13349,POINT (-0.13349 51.42767)
Maisonette,"Navestock Crescent, Woodford Green IG8",3 bed maisonette to rent,3.0,1.0,1495.0,"Marketed by Century 21 - Heritage, E7",020 3641 1080,51.60101,0.03902,POINT (0.03902 51.60101)
Flat,"Mayfair, London W1J",2 bed flat to rent,2.0,2.0,7000.0,"Marketed by Sho International, W1J",020 3641 3407,51.50797,-0.15628,POINT (-0.15628 51.50797)
Flat,"West Tower, Pan Peninsula, Canary Wharf E14",2 bed flat to rent,2.0,2.0,2817.0,"Marketed by Chase Evans Pan Peninsula, E14",020 8033 4042,51.38137,-0.42801,POINT (-0.42801 51.38137)
Flat,"Delaware Mansions, Delaware Road, Maida Vale W9",2 bed flat to rent,2.0,1.0,2145.0,"Marketed by Compton Reeback Letting & Estate Agent, W9",020 3463 2639,51.5263,-0.19147,POINT (-0.19147 51.5263)
Flat,"Shad Thames, London SE1",1 bed flat to rent,1.0,1.0,1712.0,"Marketed by McMahon & Partners, SE1",020 8128 9393,51.50216,-0.07238,POINT (-0.07238 51.50216)
Studio,"96A Old Street (1), Clerkenwell, London EC1V",Studio to rent,1.0,1.0,1278.0,"Marketed by Pearl & Coutts, N1",020 3641 5095,51.52528,-0.09075,POINT (-0.09075 51.52528)
Terraced house,"The Vista, London SE9",3 bed terraced house to rent,3.0,1.0,1600.0,"Marketed by Acorn - Eltham, SE9",020 3544 1588,51.44831,0.03981,POINT (0.03981 51.44831)
Flat,"Corbets Tey Road, Upminster RM14",3 bed flat to rent,3.0,1.0,1400.0,"Marketed by Alternative Property Services, RM11",01708 573589,51.55319,0.24779,POINT (0.24779 51.55319)
Room,"Lopen Road, London N18",Room to rent,1.0,1.0,600.0,"Marketed by SP Property Investment, N1",020 3551 9605,51.61699,-0.07709,POINT (-0.07709000000000001 51.61699)
Property,"Tolworth Park Road, Tolworth, Surbiton KT6",4 bed property to rent,4.0,,2200.0,"Marketed by Barnard Marcus - Surbiton, KT6",020 3641 5363,51.38021,-0.29684,POINT (-0.29684 51.38021)
Flat,"Hoop Lane, London NW11",1 bed flat to rent,1.0,1.0,1400.0,"Marketed by Hausman & Holmes, NW11",020 3478 3618,51.57373,-0.19899,POINT (-0.19899 51.57373)
Flat,"Kirkdale, Sydenham, London SE26",1 bed flat to rent,1.0,1.0,1000.0,"Marketed by Live London Estates, NW11",020 3463 9987,51.43083,-0.05949,POINT (-0.05949 51.43083)
Flat,"Lexham Gardens, London W8",2 bed flat to rent,2.0,2.0,2800.0,"Marketed by Napier Watt, W1J",020 3478 3494,51.49494,-0.19032,POINT (-0.19032 51.49494)
Flat,"Talbot Road, London W11",1 bed flat to rent,1.0,1.0,2492.0,"Marketed by Marsh & Parsons - Notting Hill, W11",020 8128 1321,51.51634,-0.20347,POINT (-0.20347 51.51634)
Terraced house,"Mycenae Road, London SE3",4 bed terraced house to rent,4.0,2.0,3250.0,"Marketed by Hamptons - Blackheath Lettings, SE3",020 3641 5961,51.47957,0.01694,POINT (0.01694 51.47957)
Studio,"Ferndale Road, London N15",Studio to rent,1.0,1.0,1000.0,"Marketed by Leygate, N16",020 8033 2493,51.5795,-0.07181,POINT (-0.07181 51.5795)
Flat,"Gloucester Avenue, Primrose Hill, London NW1",1 bed flat to rent,1.0,1.0,1625.0,"Marketed by Paul Lee & Company, NW1",020 8033 5506,51.53901,-0.14906,POINT (-0.14906 51.53901)
Flat,"The Drive, Golders Green NW11",3 bed flat to rent,3.0,2.0,3142.0,"Marketed by S.H.A & SON, WD23",020 8115 0048,51.57519,-0.2077,POINT (-0.2077 51.57519)
Flat,"Morley Road, London E15",3 bed flat to rent,3.0,1.0,1500.0,"Marketed by Easy Estates UK Limited, E7",020 3641 9873,51.53216,0.01434,POINT (0.01434 51.53216)
Flat,"Hainault Road, Leytonstone E11",4 bed flat to rent,4.0,1.0,1550.0,"Marketed by Homepride Lets Ltd, N16",020 8128 1429,51.57057,-0.0002,POINT (-0.0002 51.57057)
Semi-detached house,"Grove Road, Hounslow TW3",4 bed semi-detached house to rent,4.0,2.0,2100.0,"Marketed by Invest Estates, TW3",020 8022 1048,51.46703,-0.36302,POINT (-0.36302 51.46703)
Flat,"Belsize Park Gardens, London NW3",4 bed flat to rent,4.0,4.0,12000.0,"Marketed by Knight Frank - Belsize Park Lettings, NW3",020 3641 9813,51.54767,-0.16839,POINT (-0.16839 51.54767)
Flat,"Stuart Towers, Maida Vale W9",1 bed flat to rent,1.0,1.0,1712.0,"Marketed by Compton Reeback Letting & Estate Agent, W9",020 3463 2639,51.53341,-0.18854,POINT (-0.18854 51.53341)
Maisonette,"Wakefield Street, London E6",2 bed maisonette to rent,2.0,1.0,1350.0,"Marketed by Easy Estates UK Limited, E7",020 3641 9873,51.53337,0.04465,POINT (0.04465 51.53337)
Studio,"Lovat Lane, London EC3R",Studio to rent,1.0,1.0,1850.0,"Marketed by Hamptons - City Lettings, EC4N",020 3463 0450,51.51006,-0.08401,POINT (-0.08401 51.51006)
Flat,"Hamilton Road, London NW11",1 bed flat to rent,1.0,1.0,1300.0,"Marketed by Dreamview Estates, NW11",020 3641 2610,51.57255,-0.21044,POINT (-0.21044 51.57255)
Studio,"Kilburn High Road, London NW6",Studio to rent,1.0,1.0,975.0,"Marketed by Legacy Property Consultants, NW3",020 7768 2955,51.53509,-0.18952,POINT (-0.18952 51.53509)
Flat,"South Lodge, Knightsbridge, London SW7",2 bed flat to rent,2.0,2.0,5850.0,"Marketed by Knight Frank - Knightsbridge Lettings, SW3",020 8128 5275,51.50169,-0.16495,POINT (-0.16495 51.50169)
Flat,"Pembroke Lodge, Leigham Court Road, Streatham, London SW16",2 bed flat to rent,2.0,1.0,1500.0,"Marketed by Aspire - Balham, SW12",020 8115 3724,51.43795,-0.12705,POINT (-0.12705 51.43795)
Room,"Waddon Road, Croydon London CR0",Room to rent,1.0,1.0,650.0,"Marketed by SP Property Investment, N1",020 3551 9605,51.37179,-0.11228,POINT (-0.11228 51.37179)
Terraced house,"Cranbourne Road, Barking IG11",3 bed terraced house to rent,3.0,2.0,1700.0,"Marketed by Ideal Letting Homes Ltd, IG1",020 8166 4069,51.53532,0.08565,POINT (0.08565 51.53532)
Flat,"Rhyl Street, London NW5",2 bed flat to rent,2.0,1.0,1798.0,"Marketed by Homeview Estates Ltd, NW6",020 3641 7530,51.54774,-0.15007,POINT (-0.15007 51.54774)
Flat,"Broomhouse Lane, Fulham SW6",2 bed flat to rent,2.0,2.0,2579.0,"Marketed by Benham and Reeves - Imperial Wharf, SW6",020 3478 3324,53.48637,-1.17524,POINT (-1.17524 53.48637)
Studio,"Greenland Street, London NW1",Studio to rent,1.0,1.0,1148.0,"Marketed by Hotblack Desiato, NW1",020 3544 6083,51.53831,-0.14167,POINT (-0.14167 51.53831)
Flat,"Ongar Road, London SW6",2 bed flat to rent,2.0,1.0,1690.0,"Marketed by Letting A Property, B95",020 8166 5351,51.48573,-0.19786,POINT (-0.19786 51.48573)
Flat,"Lichfield Grove, Finchley, London N3",1 bed flat to rent,1.0,1.0,1200.0,"Marketed by Penny and Lisa Lettings, N3",020 3478 3165,51.6003,-0.19384,POINT (-0.19384 51.6003)
Flat,"The Drive, Golders Green NW11",1 bed flat to rent,1.0,1.0,1733.0,"Marketed by S.H.A & SON, WD23",020 8115 0048,51.57519,-0.2077,POINT (-0.2077 51.57519)
Semi-detached house,"Adelphi Crescent, Hayes UB4",3 bed semi-detached house to rent,3.0,1.0,1700.0,"Marketed by Fenix Property Services Limited, UB4",020 8115 4332,51.53356,-0.42501,POINT (-0.42501 51.53356)
Semi-detached house,"Pemberton Gardens, Archway, London N19",2 bed semi-detached house to rent,2.0,2.0,2850.0,"Marketed by Capital Estate, N3",020 8022 0134,51.56209,-0.13401,POINT (-0.13401 51.56209)
Flat,"Knightsbridge, London SW1X",4 bed flat to rent,4.0,5.0,13975.0,"Marketed by Knightsbridge Estate Agents, W1K",020 3641 5638,51.50227,-0.15782,POINT (-0.15782 51.50227)
Flat,"Colvestone Crescent, Dalston E8",1 bed flat to rent,1.0,1.0,1547.0,"Marketed by Courtneys, E8",020 8022 2693,51.54922,-0.07339,POINT (-0.07339 51.54922)
Town house,"Lowell Street, London E14",3 bed town house to rent,3.0,2.0,2000.0,"Marketed by Avas Residential, E14",020 3641 3127,51.51334,-0.03571,POINT (-0.03571 51.51334)
Maisonette,"Cardwell Terrace, Holloway, Tufnell Park, North London N7",1 bed maisonette to rent,1.0,1.0,1300.0,"Marketed by The London Accommodation Centre, N7",020 8022 1447,51.55624,-0.1234,POINT (-0.1234 51.55624)
Flat,"Arena Tower, Crossharbour Plaza, London E14",2 bed flat to rent,2.0,2.0,2947.0,"Marketed by CHAMPS UK Property Asset Management, SE1",020 8115 2344,51.49757,-0.01539,POINT (-0.01539 51.49757)
Flat,"New Crane Place, Wapping, London E1W",2 bed flat to rent,2.0,3.0,3250.0,"Marketed by Knight Frank - Wapping Lettings, E1W",020 3641 0803,51.50353,-0.06203,POINT (-0.06203 51.50353)
Semi-detached house,"Rosedene Gardens, Ilford IG2",3 bed semi-detached house to rent,3.0,1.0,2000.0,"Marketed by Advanced Investment Management, IG4",020 3641 4428,51.58397,0.07167,POINT (0.07167 51.58397)
Flat,"Queens Road, Kingston Upon Thames KT2",2 bed flat to rent,2.0,1.0,1325.0,"Marketed by Keys Residential, KT3",020 3641 9056,51.41694,-0.28441,POINT (-0.28441 51.41694)
Flat,"Brackley Road, Beckenham BR3",2 bed flat to rent,2.0,1.0,1500.0,"Marketed by Capital Bromley, BR2",020 3641 1731,51.41554,-0.02823,POINT (-0.02823 51.41554)
Flat,"Harvist Road, Queens Park, London NW6",2 bed flat to rent,2.0,1.0,1950.0,"Marketed by Warwick Estate Agents, NW10",020 8166 1767,51.53461,-0.20623,POINT (-0.20623 51.53461)
Studio,"Putney Hill, Putney SW15",Studio to rent,1.0,1.0,1150.0,"Marketed by Rosewood Estates, SW15",020 8022 0046,51.4592,-0.2172,POINT (-0.2172 51.4592)
Flat,"The Garth Road Industrial Centre, Garth Road, Morden SM4",1 bed flat to rent,1.0,1.0,995.0,"Marketed by Leygate, N16",020 8033 2493,51.4881,-0.26431,POINT (-0.26431 51.4881)
Flat,"Hainault Road, Leytonstone E11",3 bed flat to rent,3.0,1.0,1550.0,"Marketed by Homepride Lets Ltd, N16",020 8128 1429,51.57057,-0.0002,POINT (-0.0002 51.57057)
Flat,"Canterbury Road, London NW6",2 bed flat to rent,2.0,2.0,2383.0,"Marketed by Charmill Residential, W9",020 8033 6337,51.53445,-0.19727,POINT (-0.19727 51.53445)
Flat,"Hill Street, London, London W1J",1 bed flat to rent,1.0,1.0,3315.0,"Marketed by PropertyLoop, E14",020 8128 9181,51.50849,-0.14881,POINT (-0.14881 51.50849)
Studio,"Merrick Road, Southall, Middlesex UB2",Studio to rent,1.0,1.0,1163.0,"Marketed by Uncle Wembley, HA9",020 3641 6084,51.50562,-0.37706,POINT (-0.37706 51.50562)
Studio,"49 Harrington Gardens, London SW7",Studio to rent,1.0,1.0,975.0,"Marketed by KF Properties, W1U",020 3463 2510,51.49246,-0.18568,POINT (-0.18568 51.49246)
Flat,"Haling Park Road, South Croydon CR2",2 bed flat to rent,2.0,2.0,1100.0,"Marketed by Martin & Co Croydon, CR2",020 3641 2122,51.35867,-0.10672,POINT (-0.10672 51.35867)
Flat,"Roman Road, London E3",1 bed flat to rent,1.0,1.0,1300.0,"Marketed by Alexander David Property, E3",020 7768 6120,51.53077,-0.03987,POINT (-0.03987 51.53077)
Flat,"Connaught Mews, Woolwich SE18",1 bed flat to rent,1.0,1.0,999.0,"Marketed by Redwood Estates, SE18",020 3641 2410,51.48638,0.06384,POINT (0.06383999999999999 51.48638)
Maisonette,"Athelstane Grove, London E3",3 bed maisonette to rent,3.0,1.0,2400.0,"Marketed by WJ Meade - Bow, E3",020 8166 1739,51.53046,-0.03149,POINT (-0.03149 51.53046)
Flat,"Goldhawk Road, Shepherds Bush, London W12",2 bed flat to rent,2.0,1.0,1450.0,"Marketed by Jorgensen Turner, W12",020 3478 2971,51.50244,-0.22653,POINT (-0.22653 51.50244)
Flat,"3 Hurstbourne Road, Forest Hill SE23",2 bed flat to rent,2.0,1.0,1350.0,"Marketed by Your London Ltd, SE10",020 7768 0837,37.57256,-80.78789,POINT (-80.78789 37.57256)
Flat,"Ashbourne Close, Ashbourne Court, North Finchley N12",1 bed flat to rent,1.0,1.0,1200.0,"Marketed by Raynard Hayes Estates, N12",020 8022 0742,54.08323,-1.39621,POINT (-1.39621 54.08323)
Studio,"Lyncroft House, Lyncroft Gardens, West Hampstead NW6",Studio to rent,1.0,1.0,975.0,"Marketed by Legacy Property Consultants, NW3",020 7768 2955,51.55422,-0.19204,POINT (-0.19204 51.55422)
Room,"Barringer Square, London SW17",Room to rent,1.0,1.0,825.0,"Marketed by SP Property Investment, N1",020 3551 9605,51.4316,-0.15453,POINT (-0.15453 51.4316)
Flat,"Uxbridge Road, Shepherds Bush, London W12",2 bed flat to rent,2.0,1.0,1600.0,"Marketed by Jorgensen Turner, W12",020 3478 2971,51.50512,-0.22441,POINT (-0.22441 51.50512)
Flat,"Northbook Road, Lewisham, London SE13",2 bed flat to rent,2.0,1.0,1300.0,"Marketed by Kallars London, SE8",020 8033 8661,51.47242,-0.01526,POINT (-0.01526 51.47242)
Flat,"St. Johns Wood Park, London NW8",2 bed flat to rent,2.0,2.0,13000.0,"Marketed by Kens Estate, W1W",020 3463 0078,51.5409,-0.17314,POINT (-0.17314 51.5409)
Property,"Wilbury Avenue, Sutton SM2",3 bed property to rent,3.0,1.0,2300.0,"Marketed by Goodfellows - Cheam Village, SM3",020 3463 0267,51.34458,-0.20874,POINT (-0.20874 51.34458)
Flat,"Clyde Road, Alexandra Palace N22",1 bed flat to rent,1.0,1.0,1200.0,"Marketed by Hemmingfords, N1",020 8033 8709,51.60043,-0.12899,POINT (-0.12899 51.60043)
Studio,"Lyncroft House, Lyncroft Gardens, West Hampstead NW6",Studio to rent,1.0,1.0,1049.0,"Marketed by Legacy Property Consultants, NW3",020 7768 2955,51.55422,-0.19204,POINT (-0.19204 51.55422)
Flat,"Spectrum Towers, 2-20 Hainault Street, Ilford, Essex IG1",1 bed flat to rent,1.0,1.0,1100.0,"Marketed by Keller Stone Property, IG4",020 8128 1512,51.5601,0.07646,POINT (0.07646 51.5601)
Room,"Eastern Avenue, Ilford, Essex IG4",Room to rent,1.0,1.0,650.0,"Marketed by Keller Stone Property, IG4",020 8128 1512,51.57644,0.04481,POINT (0.04481 51.57644)
Semi-detached house,"Ponsonby Road, London SW15",4 bed semi-detached house to rent,4.0,3.0,3500.0,"Marketed by Chestertons - Putney, SW15",020 8115 2468,51.44943,-0.23725,POINT (-0.23725 51.44943)
Flat,"Walpole Mews, Walpole Road, Colliers Wood, London SW19",2 bed flat to rent,2.0,1.0,1450.0,"Marketed by SW19 Estate Agents, SW19",020 8022 5923,51.53663,-0.1748,POINT (-0.1748 51.53663)
Studio,"Earls Court Gardens, Earls Court SW5",Studio to rent,1.0,1.0,1127.0,"Marketed by City Living London, W14",020 3463 2729,51.49302,-0.19099,POINT (-0.19099 51.49302)
Flat,"Hillfield Road, London NW6",2 bed flat to rent,2.0,1.0,2200.0,"Marketed by Rentd, W5",020 8128 9177,51.55187,-0.20146,POINT (-0.20146 51.55187)
Studio,"Devonshire Terrace, Paddington W2",Studio to rent,1.0,1.0,1343.0,"Marketed by City Living London, W14",020 3463 2729,51.5146,-0.18105,POINT (-0.18105 51.5146)
Flat,"Eaton Square, London SW1W",3 bed flat to rent,3.0,2.0,8450.0,"Marketed by Golden Eagle, W1H",020 3544 7195,51.49587,-0.1517,POINT (-0.1517 51.49587)
Flat,"Wrights Lane, High Street Kensington W8",1 bed flat to rent,1.0,1.0,1625.0,"Marketed by City Living London, W14",020 3463 2729,51.50086,-0.19341,POINT (-0.19341 51.50086)
Flat,"Bartholomew Close, Wandsworth, London SW18",1 bed flat to rent,1.0,1.0,1250.0,"Marketed by Fieldhouse Residential, SW6",020 3641 5270,51.46021,-0.18223,POINT (-0.18223 51.46021)
Flat,"South Street, Mayfair, London W1K",2 bed flat to rent,2.0,2.0,4117.0,"Marketed by Chestertons - Mayfair, W1K",020 8115 2513,51.50839,-0.15147,POINT (-0.15147 51.50839)
Flat,"Buckle Street, London E1",1 bed flat to rent,1.0,1.0,2015.0,"Marketed by Chestertons - Tower Bridge, SE1",020 8115 2478,51.51458,-0.07042,POINT (-0.07042 51.51458)
Flat,"The Modern, Embassy Gardens, London SW11",1 bed flat to rent,1.0,1.0,3033.0,"Marketed by JOHNS&CO - Nine Elms, SW11",020 8115 9672,51.47526,-0.15436,POINT (-0.15436 51.47526)
Property,"Newbury Mews, Kentish Town NW5",2 bed property to rent,2.0,1.0,2300.0,"Marketed by Charles Henry Peppiatt Ltd, N14",020 3641 0545,51.54635,-0.15013,POINT (-0.15013 51.54635)
Flat,"The Avenue, Surbiton KT5",2 bed flat to rent,2.0,1.0,1395.0,"Marketed by Goodfellows - Raynes Park, SW20",020 8022 0580,51.3911,-0.29153,POINT (-0.29153 51.3911)
Studio,"Churchmead Road, London NW10",Studio to rent,1.0,1.0,1148.0,"Marketed by Vel Estates, HA0",020 8033 5951,51.54811,-0.23931,POINT (-0.23931 51.54811)
Terraced house,"Crayleigh Terrace Cray Road, Sidcup DA14",3 bed terraced house to rent,3.0,1.0,1700.0,"Marketed by Your Move - Petty Freeman, DA14",020 3589 2939,51.41669,0.11557,POINT (0.11557 51.41669)
Flat,"Kingsley Mews, London E1W",2 bed flat to rent,2.0,1.0,1798.0,"Marketed by Hemmingfords, N1",020 8033 8709,51.50826,-0.05818,POINT (-0.05818 51.50826)
Maisonette,"Newtown Road, Denham, Uxbridge UB9",2 bed maisonette to rent,2.0,1.0,1250.0,"Marketed by Cameron Estate Agents, UB8",01895 647679,51.55344,-0.48963,POINT (-0.48963 51.55344)
Flat,"Park Road, London NW1",1 bed flat to rent,1.0,1.0,1850.0,"Marketed by Wellington Estates, W6",020 8033 2116,51.52405,-0.15866,POINT (-0.15866 51.52405)
Flat,"Bedroom Proton Tower, Blackwall Way, Canary Wharf E14",2 bed flat to rent,2.0,2.0,1690.0,"Marketed by Apartmentwharf, E14",020 3641 6532,51.50898,-0.00179,POINT (-0.00179 51.50898)
Flat,"Hormead Road, London W9",2 bed flat to rent,2.0,2.0,2076.0,"Marketed by Dexters - Maida Vale, W9",020 7266 2021,51.52345,-0.20209,POINT (-0.20209 51.52345)
Studio,"Cartwright Gardens, Bloomsbury, London WC1H",Studio to rent,1.0,1.0,1690.0,"Marketed by Victorstone International - City, EC1V",020 3463 0065,51.52706,-0.12666,POINT (-0.12666 51.52706)
Studio,"Northcote Road, London SW11",Studio to rent,1.0,1.0,1049.0,"Marketed by Dexters - Battersea, SW11",020 7350 1300,51.45505,-0.16483,POINT (-0.16483 51.45505)
Flat,"Etta Street, London SE8",4 bed flat to rent,4.0,,2249.0,"Marketed by 1 Ability Estate Agents, SE1",020 8115 7230,51.48429,-0.03555,POINT (-0.03555 51.48429)
Flat,"Trafalgar Avenue, London SE15",1 bed flat to rent,1.0,1.0,1495.0,"Marketed by Greenland Property Services Ltd, E2",020 3463 9983,51.48603,-0.0738,POINT (-0.0738 51.48603)
Flat,"Lawnside, Blackheath SE3",2 bed flat to rent,2.0,1.0,1550.0,"Marketed by Heath Estates, SE3",020 8022 5887,51.45845,0.00872,POINT (0.00872 51.45845)
Flat,"The Drive, London NW11",3 bed flat to rent,3.0,2.0,3900.0,"Marketed by Kens Estate, W1W",020 3463 0078,51.57519,-0.2077,POINT (-0.2077 51.57519)
Maisonette,"Green Lanes, London N16",4 bed maisonette to rent,4.0,2.0,3200.0,"Marketed by Upad, E1",0330 038 5349,51.56779,-0.09336,POINT (-0.09336 51.56779)
Flat,"Mornington Road, Bushwood Area E11",1 bed flat to rent,1.0,1.0,1100.0,"Marketed by Theydons, E11",020 8166 7815,51.56562,0.01351,POINT (0.01351 51.56562)
Flat,"Throwley Way, Sutton SM1",2 bed flat to rent,2.0,,1400.0,"Marketed by Barnard Marcus - Sutton, SM2",020 3641 7477,51.36228,-0.1912,POINT (-0.1912 51.36228)
Flat,"Woodlands Road, Southall UB1",2 bed flat to rent,2.0,1.0,1300.0,"Marketed by Keytons Estates, UB1",020 3641 6192,51.51234,-0.38708,POINT (-0.38708 51.51234)
Flat,"Wandsworth Road, London SW8",2 bed flat to rent,2.0,,1725.0,"Marketed by Barnard Marcus - Clapham, SW4",020 7768 0214,51.46629,-0.15047,POINT (-0.15047 51.46629)
Flat,"The Drive, London NW11",3 bed flat to rent,3.0,2.0,3142.0,"Marketed by Kens Estate, W1W",020 3463 0078,51.57519,-0.2077,POINT (-0.2077 51.57519)
Flat,"Stainsby Road, London E14",2 bed flat to rent,2.0,2.0,1650.0,"Marketed by Inner City Estates, E3",020 3641 8145,51.51491,-0.02515,POINT (-0.02515 51.51491)
Flat,"Archery Close, Harrow HA3",1 bed flat to rent,1.0,1.0,1100.0,"Marketed by London Properties, HA3",020 3478 3524,51.59644,-0.3286,POINT (-0.3286 51.59644)
Maisonette,"Toynbee Road, London SW20",4 bed maisonette to rent,4.0,2.0,2500.0,"Marketed by Hawes & Co - Raynes Park, SW20",020 3463 0375,51.41285,-0.21732,POINT (-0.21732 51.41285)
Flat,"Innes Gardens, London SW15",3 bed flat to rent,3.0,1.0,1700.0,"Marketed by Brinkley's Estate Agents, SW15",020 3463 2554,51.45275,-0.23303,POINT (-0.23303 51.45275)
Flat,"Young Street, London W8",1 bed flat to rent,1.0,1.0,3683.0,"Marketed by ESON2, SW1X",020 8128 9341,51.50159,-0.18972,POINT (-0.18972 51.50159)
